"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"Led_0603";1;"RED";;;
2;"P1";"pin_socket_2";1;"POWER";;;
3;"RV1";"trimmer_alps-rk09k1130ah1";1;"10k";;;
4;"C4,C1,C3,C2,C9,C5,C6";"C_0603_HandSoldering";7;"1u";;;
5;"U3";"SOT-23_Handsoldering";1;"REF3012";;;
6;"U1";"SOT-23_Handsoldering";1;"LM78L05ACZ";;;
7;"Q1";"d-pak";1;"BUK6207-55C";;;
8;"CON1";"WURTH694102107102";1;"BARREL_JACK";;;
9;"D1";"Led_0603";1;"BLUE";;;
10;"R3,R9,R10";"R_0603_HandSoldering";3;"10k";;;
11;"R1";"R_0603_HandSoldering";1;"2k";;;
12;"R2";"R_0603_HandSoldering";1;"17.4k";;;
13;"R5,R14,R12";"R_0603_HandSoldering";3;"220";;;
14;"U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"MCP6072";;;
15;"R7,R6";"r_2512";2;"1R";;;
16;"R4";"R_0603_HandSoldering";1;"3.74k";;;
17;"R8";"R_0603_HandSoldering";1;"78.7k";;;
18;"R11";"R_0603_HandSoldering";1;"1M";;;
19;"SW1";"SW_SPDT_PCM12";1;"Switch_SPDT_x2";;;
20;"U4";"sot23-6";1;"MCP65R41T";;;
